PM Vidyalaxmi Institutes (All);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
410;C-64662;HQ ONE SIGNAL TRAINING CENTRE;Madhya Pradesh;Central Government
411;U-1334;INDIAN INSTITUTE OF FOREST MANAGEMENT, BHOPAL;Madhya Pradesh;Central Government
412;U-1193;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY;Madhya Pradesh;Central Government
413;U-1012;Indian Institute of Management Indore;Madhya Pradesh;Central Government
414;U-0272;Indian Institute of Science Education and Research Bhopal;Madhya Pradesh;Central Government
415;U-0273;Indian Institute of Technology Indore;Madhya Pradesh;Central Government
416;U-0290;Indira Gandhi National Tribal University, Amarkantak;Madhya Pradesh;Central Government
417;U-0277;Lakshmibai National Institute of Physical Education, Gwalior;Madhya Pradesh;Central Government
418;U-0284;Maulana Azad National Institute of Technology, Bhopal;Madhya Pradesh;Central Government
419;C-29758;Military College of Telecommunication Engineering (MCTE), Mhow;Madhya Pradesh;Central Government
420;U-1094;NATIONAL INSTITUTE OF DESIGN (NID) MADHYA PRADESH;Madhya Pradesh;Central Government
421;U-1333;NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING & RESEARCH, BHOPAL;Madhya Pradesh;Central Government
422;U-0285;National Law Institute University, Bhopal;Madhya Pradesh;State Government
423;U-0286;Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur;Madhya Pradesh;Central Government
424;C-39256;Raja Ramanna Centre for Advanced Technology (RRCAT),Indore;Madhya Pradesh;Central Government
425;U-0626;School of Planning and Architecture Bhopal;Madhya Pradesh;Central Government
426;C-41628;AISSMS College of Pharmacy;Maharashtra;Private
427;C-13967;Ali Yavar Jung National Institute of the Hearing  Handicapped, Mumbai;Maharashtra;Central Government
428;U-1051;ALL INDIA INSTITUTE OF MEDICAL SCIENCES NAGPUR;Maharashtra;Central Government
429;C-13849;All India Institute of Physical Medicine & Rehabilitation, Haji Ali Park, K. Khadye Marg, Mahalaxmi, Mumbai 422 004;Maharashtra;Central Government
430;C-13844;Armed Force Medical College;Maharashtra;Central Government
431;C-39260;Bhabha Atomic Research Centre (BARC), Mumbai;Maharashtra;Central Government
432;C-35422;Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune;Maharashtra;Private
433;C-11091;Bharati Vidyapeeth College of Pharmacy;Maharashtra;Private
434;C-33873;Bombay College of Pharmacy;Maharashtra;Private
435;C-44200;C.U.Shah College of Pharmacy;Maharashtra;State Government
436;U-0293;Central Institute of Fisheries Education, Fishries University;Maharashtra;Central Government
437;U-1257;COEP Technological University;Maharashtra;State Government
438;C-8316;College of Military Engineering;Maharashtra;Central Government
439;C-13845;College of Nursing, INHS Asvinis College of Nursing (B.Sc.) INHS Asvini, Colaba, Mumbai;Maharashtra;Central Government
440;U-0295;Datta Meghe Institute of Higher Education and Research;Maharashtra;Private
441;U-0297;Defence Institute of Advanced Technology;Maharashtra;Central Government
442;C-18279;Dhananjayrao Gadgil Sahakari Prabandh Sansthan, New nandanvan;Maharashtra;Central Government
443;C-41223;Dr D Y Patil Institute of Pharmaceutical Sciences and Research;Maharashtra;Private
444;U-0298;Dr. Babasaheb Ambedkar Marathwada University;Maharashtra;State Government
445;U-0301;Dr. D. Y. Patil Vidyapeeth;Maharashtra;Private
446;C-41431;Fergusson College (Autonomous);Maharashtra;Private
447;C-18938;Government Institute of Science, Nagpur;Maharashtra;State Government
448;C-13829;Govt. Dental College, Mumbai;Maharashtra;State Government
449;C-14033;Govt. Dental College, Nagpur;Maharashtra;State Government
450;C-40057;Homi Bhabha Centre for Science Education;Maharashtra;Central Government
451;U-0304;Homi Bhabha National Institute;Maharashtra;Central Government
452;U-0841;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR;Maharashtra;Central Government
453;U-0804;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE;Maharashtra;Central Government
454;U-1283;Indian Institute of Management Mumbai;Maharashtra;Central Government
455;U-1018;Indian Institute of Management Nagpur;Maharashtra;Central Government
456;U-0305;Indian Institute of Science Education and Research Pune;Maharashtra;Central Government
457;U-0306;Indian Institute of Technology Bombay;Maharashtra;Central Government
458;C-61033;INDIAN MARITIME UNIVERSITY, MUMBAI PORT ;Maharashtra;Central Government
459;C-60302;Indian Naval Ship Hamla;Maharashtra;Central Government
460;S-15087;Institute for Design of Electrical Measuring Instruments;Maharashtra;Central Government
461;C-34195;Institute for research in reproduction (indian council of medical research);Maharashtra;Central Government
462;U-0308;Institute of Chemical Technology;Maharashtra;State Government
463;C-60004;INSTITUTE OF ENGINEERING AND TECHNOLOGY, NDA;Maharashtra;Central Government
464;U-0309;International Institute for Population Sciences, Mumbai;Maharashtra;Central Government
465;S-220;K J Somaiya Institute of Management Studies and Research;Maharashtra;Private
466;U-0886;Maharashtra National Law University Mumbai;Maharashtra;State Government
467;U-0880;Maharashtra National Law University, Nagpur;Maharashtra;State Government
468;U-0314;Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha;Maharashtra;Central Government
469;U-0891;MIT Art, Design and Technology University, Pune;Maharashtra;Private
470;U-0318;Mumbai University;Maharashtra;State Government
471;C-13751;Nair Hospital Dental College;Maharashtra;Private
472;C-18673;National Fire Service College, Civil Lines;Maharashtra;Central Government
473;C-33642;National Institute for the Mentally Handicapped Fkat Bi, B-102 Vasundhara CHS Plot No 13-14  Sector 8 Kharghar Navi Mumbai 410 210;Maharashtra;Central Government
474;S-14565;National Institute of Bank Management;Maharashtra;Private
475;C-47477;NATIONAL INSTITUTE OF FASHION TECHNOLOGY, MUMBAI;Maharashtra;Central Government
476;U-0320;North Maharashtra University;Maharashtra;State Government
477;C-35430;Poona College of Pharmacy, Pune;Maharashtra;Private
478;S-19472;Prin. L.N. Welingkar Institute of Management Development and Research (PGDM);Maharashtra;Private
479;C-33635;Principal K.M. Kundnani College of Pharmacy;Maharashtra;State Government
480;C-42167;PROGRESSIVE EDUCATION SOCIETYS MODERN COLLEGE OF PHARMACY;Maharashtra;Private
481;C-8993;R. C. Patel Institute of Pharmaceutical Education and Research;Maharashtra;Private
482;U-0332;Rashtrasant Tukadoji Maharaj Nagpur University;Maharashtra;State Government
483;C-33504;S. P. Jain Institute of Management and Research;Maharashtra;Private
484;U-0323;Savitribai Phule Pune University;Maharashtra;State Government
485;U-0325;Shivaji University;Maharashtra;State Government
486;C-43229;Shri Shivaji Science College;Maharashtra;Private
487;C-18900;Smt. Kishoritai Bhoyar College of Pharmacy;Maharashtra;Private
488;C-33555;St. Xavier`s College;Maharashtra;Private
489;U-0319;SVKM`s Narsee Monjee Institute of Management Studies;Maharashtra;Private
490;C-33877;SVKM’s Dr. Bhanuben Nanavati College of Pharmacy;Maharashtra;Private
491;C-19343;Symbiosis Institute of Business Management;Maharashtra;Private
492;U-0329;Symbiosis International;Maharashtra;Private
493;C-19328;Symbiosis Law School;Maharashtra;Private
494;U-0979;Symbiosis Skills and Professional University (Formerly Symbiosis Skill and Open University);Maharashtra;Private
495;U-0330;Tata Institute of Fundamental Research;Maharashtra;Central Government
496;U-0331;Tata Institute of Social Sciences;Maharashtra;Private
497;C-39257;Tata Memorial Centre (TMC),Mumbai;Maharashtra;Central Government
498;C-33641;Veermata Jijabai Technological Institute,  (VJTI, Mumbai);Maharashtra;State Government
499;U-0334;Visvesvaraya National Institute of Technology Nagpur;Maharashtra;Central Government
500;C-34531;Y. B. Chavan College of Pharmacy;Maharashtra;Private
501;U-0336;Central Agricultural University;Manipur;Central Government
502;C-48586;COLLEGE OF NURSING, RIMS;Manipur;Central Government
503;C-48585;DENTAL COLLEGE, RIMS;Manipur;Central Government
504;U-0770;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI;Manipur;Central Government
505;U-0337;Manipur University, Imphal;Manipur;Central Government
506;U-0613;National Institute of Technology Manipur;Manipur;Central Government
507;U-1026;NATIONAL SPORTS UNIVERSITY;Manipur;Central Government
508;C-9435;Regional Institute of Medical Sciences;Manipur;Central Government
509;C-26832;College of Post Graduate Studies, Umiam;Meghalaya;Central Government
510;U-1011;Indian Institute of Management Shillong;Meghalaya;Central Government
511;S-17784;INSTITUTE OF HOTEL MANAGEMENT;Meghalaya;Central Government
512;C-47481;NATIONAL INSTITUTE OF FASHION TECHNOLOGY, SHILLONG;Meghalaya;Central Government
513;U-0619;National Institute of Technology Meghalaya;Meghalaya;Central Government
514;C-65041;NORTH EAST REGIONAL INSTITUTE OF EDUCATION;Meghalaya;Central Government
515;U-0341;North Eastern Hill University, Shillong;Meghalaya;Central Government
516;S-16707;North Eastern Institute of Ayurveda and Homoeopathy;Meghalaya;Central Government
517;U-0345;Mizoram University, Aizwal;Mizoram;Central Government
518;U-0617;National Institute of Technology Mizoram;Mizoram;Central Government
519;C-8308;Pachhunga University College;Mizoram;Central Government
520;C-8298;Regional Institute of Paramedical and Nursing Sciences;Mizoram;Central Government
521;U-0347;Nagaland University;Nagaland;Central Government
522;U-0618;National Institute of Technology Nagaland;Nagaland;Central Government
523;U-0688;All India Institute of Medical Sciences Bhubaneswar;Odisha;Central Government
524;C-39370;Army A.D. College, Gopalpur;Odisha;Central Government
525;U-0350;Berhampur University;Odisha;State Government
526;U-0352;Central University of Orissa, Koraput;Odisha;Central Government
527;S-21028;ESTUARINE BIOLOGY REGIONAL CENTRE ZOOLOGICAL SURVEY OF INDIA;Odisha;Central Government
528;U-0354;Fakir Mohan University;Odisha;State Government
529;U-1002;Indian Institute of Management Sambalpur;Odisha;Central Government
530;U-0828;Indian Institute of Science Education & Research (IISER), Berhampur;Odisha;Central Government
531;U-0355;Indian Institute of Technology, Bhubaneshwar;Odisha;Central Government
532;C-39258;Institute of Physics (IOP),Bhubaneswar;Odisha;Central Government
533;U-1032;International Institute of Information Technology Bhubaneswar;Odisha;State Government
534;S-16690;International Management Institute, Bhubaneswar;Odisha;Private
535;U-0356;Kalinga Institute of Industrial Technology;Odisha;Private
536;C-47469;NATIONAL INSTITUTE OF FASHION TECHNOLOGY, BHUBANESWAR;Odisha;Central Government
537;C-45304;NATIONAL INSTITUTE OF SCIENCE EDUCATION AND RESEARCH;Odisha;Central Government
538;U-0357;National Institute of Technology Rourkela;Odisha;Central Government
539;U-0358;National Law University, Cuttack;Odisha;State Government
540;U-0360;Odisha University of Agriculture and Technology;Odisha;State Government
541;U-0361;Ravenshaw University;Odisha;State Government
542;U-0362;Sambalpur University, Sambalpur;Odisha;State Government
543;U-0363;Siksha `O` Anusandhan;Odisha;Private
544;U-0366;Utkal University;Odisha;State Government
545;U-0367;Veer Surendra Sai University of Technology;Odisha;State Government
546;U-0715;XIM University;Odisha;Private
547;C-6523;Indira Gandhi College of Arts   and Science;Puducherry;State Government
548;U-0368;Jawaharlal Institute of Post Graduate Medical Education and Research;Puducherry;Central Government
549;C-6502;Kanchi Mamunivar Govt. Institute for Postgraduate Studies and Research;Puducherry;State Government
550;C-6566;Mahatma Gandhi Government Arts College;Puducherry;State Government
551;C-47762;Mahatma Gandhi Medical College and Research Institute;Puducherry;Private
552;C-6548;Mahatma Gandhi P.G. Institute of Dental Sciences;Puducherry;State Government
553;U-0621;National Institute of Technology Puducherry;Puducherry;Central Government
554;U-0369;Pondicherry Univeristy, Puducherry;Puducherry;Central Government
555;C-6559;Vector Control Research Centre (I.C.M.R.);Puducherry;Central Government
556;U-1114;ALL INDIA INSTITUTE OF MEDICAL SCIENCE;Punjab;Central Government
557;C-10250;Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College;Punjab;Private
558;C-22215;Army Institute of Law;Punjab;Private
559;S-14536;CENTRAL INSTITUTE OF PLASTICS ENGINEERING & TECHNOLOGY (CIPET), AMRITSAR;Punjab;Central Government
560;S-2421;CENTRAL TOOL ROOM, LUDHIANA;Punjab;Central Government
561;U-0372;Central University of Punjab, Bathhinda;Punjab;Central Government
562;C-27840;Centre for Development of Advanced Computing (C-DAC), Mohali;Punjab;Central Government
563;C-10283;Chandigarh College of Pharmacy;Punjab;Private
564;U-0747;Chandigarh University;Punjab;Private
565;C-29150;Christian Dental College;Punjab;Private
566;C-29209;Christian Medical College;Punjab;Private
567;C-29255;Dayanand Medical College;Punjab;Private
568;U-0374;Dr. B. R. Ambedkar National Institute of Technology, Jalandhar;Punjab;Central Government
569;C-22139;Government Bikram College of Commerce, Patiala;Punjab;State Government
570;U-0375;Guru Angad Dev Veterinary and Animal Sciences University;Punjab;State Government
571;C-69465;HOMI BHABHA CANCER HOSPITAL;Punjab;Central Government
572;C-10398;I. S. F. College of Pharmacy;Punjab;Private
573;U-1001;Indian Institute of Management Amritsar;Punjab;Central Government
574;U-0377;Indian Institute of Science Education and Research Mohali;Punjab;Central Government
575;U-0378;Indian Institute of Technology Ropar;Punjab;Central Government
576;U-0379;Lovely Professional University;Punjab;Private
577;C-22239;N.I.S., Patiala;Punjab;Central Government
578;C-70709;NATIONAL  INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY,NIELIT;Punjab;Central Government
579;U-0380;National Institute of Pharmaceutical Education and Research Mohali;Punjab;Central Government
580;C-29157;Netaji Subhas Institute of Sports, Moti Bagh, Patiala;Punjab;Central Government
581;U-0381;Punjab Agricultural University;Punjab;State Government
582;U-0383;Punjabi University;Punjab;State Government
583;U-0384;Sant Longowal Institute of Engg. & Tech., Longowal;Punjab;Central Government
584;U-0385;Thapar Institute of Engineering and Technology (Deemed-to-be-university);Punjab;Private
585;U-0386;The Rajiv Gandhi National University of Law;Punjab;State Government
586;U-0689;All India Institute of Medical Sciences Jodhpur;Rajasthan;Central Government
587;U-0949;Bhartiya Skill Development University;Rajasthan;Private
588;U-0391;Birla Institute of Technology and Science, Pilani;Rajasthan;Private
589;U-0392;Central University of Rajasthan, Jaipur;Rajasthan;Central Government
590;U-0799;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA;Rajasthan;Central Government
591;U-1010;Indian Institute of Management Udaipur;Rajasthan;Central Government
592;U-0395;Indian Institute of Technology Jodhpur;Rajasthan;Central Government
593;S-309;Jaipuria Institute of Management;Rajasthan;Private
594;U-0407;Maharana Pratap University of Agriculture & Technology, Udaipur;Rajasthan;State Government
595;U-0410;Malaviya National Institute of Technology;Rajasthan;Central Government
596;U-0413;Mohan Lal Sukhadia University;Rajasthan;State Government
597;C-26217;National Institute of Ayurveda, Jaipur;Rajasthan;Central Government
598;C-47473;NATIONAL INSTITUTE OF FASHION TECHNOLOGY, JODHPUR;Rajasthan;Central Government
599;C-39206;S S Jain Subodh P G College, Jaipur;Rajasthan;Private
600;C-47118;Sawai Man Singh Medical College;Rajasthan;State Government
601;U-0614;National Institute of Technology Sikkim;Sikkim;Central Government
602;U-0430;Sikkim  University, Gangtok;Sikkim;Central Government
603;C-41140;A.P.C. Mahalaxmi College for Women;Tamil Nadu;State Government
604;C-45597;Adhiparasakthi Dental College and Hospital, Kancheepuram;Tamil Nadu;Private
605;C-28526;Alagappa Government Arts College;Tamil Nadu;State Government
606;U-0435;Alagappa University;Tamil Nadu;State Government
607;U-1304;ALL INDIA INSTITUTE OF MEDICAL SCIENCES MADURAI;Tamil Nadu;Central Government
608;U-0436;Amrita Vishwa Vidyapeetham;Tamil Nadu;Private
609;U-0439;Anna University;Tamil Nadu;State Government
610;U-0443;Annamalai University;Tamil Nadu;State Government
611;C-45757;Arulmigu Kalasalingam College of Pharmacy;Tamil Nadu;Private
612;C-36579;Ayya Nadar Janaki Ammal College;Tamil Nadu;Private
613;U-0446;Bharath Institute of Higher Education and Research;Tamil Nadu;Private
614;C-43937;Bharathi Womens College;Tamil Nadu;State Government
615;U-0447;Bharathiar University;Tamil Nadu;State Government
616;U-0448;Bharathidasan Institute of Management (NIRF Code (N-4));Tamil Nadu;Private
617;U-0448;Bharathidasan University;Tamil Nadu;State Government
618;C-35825;Bishop Heber College;Tamil Nadu;Private
619;C-26800;Central Electro-Chemical Research Institute, Karaikudi;Tamil Nadu;Central Government
620;S-15035;Central Institute of Petrochemicals Engineering & Technology (CIPET), Madurai;Tamil Nadu;Central Government
621;U-0449;Central University of Tamil Nadu, Tiruvarur;Tamil Nadu;Central Government
622;C-45605;Chettinad Dental College and Research Institute;Tamil Nadu;Private
623;C-45654;Christian Medical College;Tamil Nadu;Private
624;C-45416;College of Pharmacy, Madras Medical College;Tamil Nadu;State Government
625;U-0452;Dakshina Bharat Hindi Prachar Sabha;Tamil Nadu;Central Government
626;C-35868;Dhanalakshmi Srinivasan College of Arts and Science for Women;Tamil Nadu;Private
627;C-41054;Dr. N. G. P. Arts and Science College;Tamil Nadu;Private
628;C-41042;Dr. S. N. S. Rajalakshmi College of Arts and Science;Tamil Nadu;Private
629;C-45507;ESI MEDICAL COLLEGE & ESI-PGIMSR (Inst. Code - 495), CHENNAI;Tamil Nadu;Central Government
630;C-43902;Ethiraj College for Women;Tamil Nadu;Private
631;C-58886;FOOTWEAR DESIGN AND DEVELOPMENT INSTITUTE;Tamil Nadu;Central Government
632;C-41035;Government Arts College;Tamil Nadu;State Government
633;C-35848;Government Arts College;Tamil Nadu;State Government
634;C-9517;Government Arts College;Tamil Nadu;State Government
635;C-35795;Government College for Women, Kumbakonam;Tamil Nadu;State Government
636;S-327;Great Lakes Institute of Management;Tamil Nadu;Private
637;C-43998;Guru Nanak College;Tamil Nadu;Private
638;C-41177;Holy Cross College;Tamil Nadu;State Government
639;C-35787;Holy Cross College, Tiruchirappalli;Tamil Nadu;Private
640;C-56312;INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, SALEM;Tamil Nadu;Central Government
641;U-0455;Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram;Tamil Nadu;Central Government
642;U-0754;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM;Tamil Nadu;Central Government
643;U-1000;Indian Institute of Management Tiruchirappalli;Tamil Nadu;Central Government
644;U-0456;Indian Institute of Technology Madras;Tamil Nadu;Central Government
645;U-0457;Indian Maritime University;Tamil Nadu;Central Government
646;C-61184;INDIAN MARITIME UNIVERSITY, CHENNAI;Tamil Nadu;Central Government
647;C-39255;Indira Gandhi Centre for Atomic Research (IGCAR), Kalpakkam;Tamil Nadu;Central Government
648;S-15827;INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, TARAMANI, CHENNAI;Tamil Nadu;Central Government
649;C-35832;Jamal Mohamed College, Tiruchirappalli;Tamil Nadu;Private
650;C-35006;JSS College of Pharmacy;Tamil Nadu;Private
651;U-0458;Kalasalingam Academy of Research and Education;Tamil Nadu;Private
652;C-41106;Kongunadu Arts and Science College;Tamil Nadu;Private
653;C-35814;Kunthavai Naacchiyaar Government Arts College for Women;Tamil Nadu;State Government
654;C-44006;Loyola College;Tamil Nadu;Private
655;S-331;Loyola Institute of Business Administration;Tamil Nadu;Private
656;C-43965;Madras Christian College;Tamil Nadu;Private
657;C-49008;Madras Medical College and Government General Hospital, Chennai;Tamil Nadu;State Government
658;C-43964;Madras School of Social Work;Tamil Nadu;Private
659;U-0463;Madurai Kamaraj University;Tamil Nadu;State Government
660;U-0464;Manonmaniam Sundaranar University, Tirunelveli;Tamil Nadu;State Government
661;C-45585;Nandha College of Pharmacy;Tamil Nadu;Private
662;C-43991;NATESAN INSTITUTE OF CO-OPERATIVE MANAGEMENT;Tamil Nadu;Central Government
663;C-35878;National College;Tamil Nadu;Private
664;C-14544;National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD);Tamil Nadu;Central Government
665;C-45448;NATIONAL INSTITUTE OF  SIDDHA (Inst. Code - 183), TAMBARAM SANITORIUM, CHENNAI;Tamil Nadu;Central Government
666;C-47470;NATIONAL INSTITUTE OF FASHION TECHNOLOGY, CHENNAI;Tamil Nadu;Central Government
667;U-1317;National Institute of Food Technology, Entrepreneurship and Management;Tamil Nadu;Central Government
668;U-1331;NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING AND RESEARCH, CHENNAI;Tamil Nadu;Central Government
669;U-0467;National Institute of Technology Tiruchirappalli;Tamil Nadu;Central Government
670;C-41154;Nesamony Memorial Christian College, Marthandam, Kanyakumari Dist.;Tamil Nadu;Private
671;U-0470;Periyar University;Tamil Nadu;State Government
672;C-43921;Presidency College;Tamil Nadu;State Government
673;C-41124;PSG College of Arts and Science;Tamil Nadu;Private
674;C-45540;PSG College of Pharmacy;Tamil Nadu;Private
675;C-41046;PSGR Krishnammal College for Women;Tamil Nadu;Private
676;C-43927;Queen Mary`s College;Tamil Nadu;State Government
677;C-35846;Rajah Serfoji Government College, Thanjavur - 613 005;Tamil Nadu;State Government
678;U-0472;Rajiv Gandhi National Instiute of Youth Development, Sriperumbudur;Tamil Nadu;Central Government
679;U-0473;S.R.M. Institute of Science and Technology;Tamil Nadu;Private
680;C-36411;Sacred Heart College (Autonomous);Tamil Nadu;Private
681;C-41191;Sadakathullah Appa College;Tamil Nadu;Private
682;C-67493;SARDAR VALLABHAI PATEL INTERNATIONAL SCHOOL OF TEXTILE AND  MANAGEMENT;Tamil Nadu;Central Government
683;U-0474;Sathyabama Institute of Science and Technology;Tamil Nadu;Private
684;U-0475;Saveetha Institute of Medical and Technical Sciences;Tamil Nadu;Private
685;C-41189;Scott Christian College;Tamil Nadu;Private
686;U-0476;Shanmugha Arts Science Technology and Research Academy;Tamil Nadu;Private
687;C-41126;Sri Krishna Arts and Science College;Tamil Nadu;Private
688;U-0478;Sri Ramachandra Institute of Higher Education and Research;Tamil Nadu;Private
689;C-41100;Sri Ramakrishna College of Arts and Science;Tamil Nadu;Private
690;C-41077;Sri Ramakrishna Mission Vidyalaya College of Arts and Science;Tamil Nadu;Private
691;C-16604;Sri Sivasubramaniya Nadar College of Engineering;Tamil Nadu;Private
692;C-45430;SRM Dental College;Tamil Nadu;Private
693;C-45430;SRM Kattankulathur Dental College (NIRF Code (N-353));Tamil Nadu;Private
694;C-35860;St. Joseph's College, Tiruchirappalli;Tamil Nadu;Private
695;C-41173;St. Xavier's College, Palayamkottai;Tamil Nadu;Private
696;C-43931;Stella Maris College for Women;Tamil Nadu;Private
697;U-0485;Tamil Nadu Agricultural University;Tamil Nadu;State Government
698;U-0665;Tamil Nadu Dr.J.Jayalalithaa Fisheries University;Tamil Nadu;State Government
699;U-0487;Tamil Nadu Veterinary and Animal Sciences University;Tamil Nadu;State Government
700;C-35809;Thanthai Periyar Government Arts and Science College (Autonomous);Tamil Nadu;State Government
701;C-36547;The American College;Tamil Nadu;Private
702;C-39252;The Institute of Mathematical Sciences (IMSc),chennai;Tamil Nadu;Central Government
703;S-8953;THE KALAKSHETRA FOUNDATION, CHENNAI;Tamil Nadu;Central Government
704;C-36513;Thiagarajar College;Tamil Nadu;Private
705;C-36557;Thiagarajar School of Management;Tamil Nadu;Private
706;C-9557;Thiruvalluvar Government Arts College;Tamil Nadu;State Government
707;U-0462;University of Madras;Tamil Nadu;State Government
708;C-41157;V.O. Chidambaram College;Tamil Nadu;Private
709;U-0490;Vellore Institute of Technology;Tamil Nadu;Private
710;C-36502;Virudhunagar Hindu Nadars Senthikumara Nadar College;Tamil Nadu;Private
711;C-43946;Women`s Christian College;Tamil Nadu;Private
712;U-1108;ALL INDIA INSTITUTE OF MEDICAL SCIENCE  BIBINAGAR;Telangana;Central Government
713;C-30603;Army College of Dental Sciences;Telangana;Private
714;C-25541;Central Research Institute of Unani Medicine;Telangana;Central Government
715;C-19611;CMR College of Pharmacy;Telangana;Private
716;C-58477;ESIC Medical College;Telangana;Central Government
717;C-58651;Footwear Design and Development Institute - Hyderabad;Telangana;Central Government
718;U-0012;ICFAI Foundation for Higher Education, Hyderabad;Telangana;Private
719;U-0013;Indian Institute of Technology Hyderabad;Telangana;Central Government
720;S-14562;Institute of Management Technology;Telangana;Private
721;U-0017;Jawaharlal Nehru Technological University;Telangana;State Government
722;U-0019;Kakatiya University;Telangana;State Government
723;U-0023;Maulana Azad National Urdu University, Hyderabad;Telangana;Central Government
724;C-60113;MILITARYCOLLEGE OF ELECTRONICS AND MECHANICAL ENGINEERING;Telangana;Central Government
725;U-0024;Nalsar University of Law;Telangana;State Government
726;S-25;NATIONAL ACADEMY OF AGRICULTURE RESEARCH MANAGEMENT;Telangana;Central Government
727;C-25709;National Institute for the Mentally Handicapped;Telangana;Central Government
728;S-14553;National Institute of Agricultural Extension Management;Telangana;Central Government
729;U-1118;National Institute of Pharmaceutical Education and Research Hyderabad;Telangana;Central Government
730;U-0025;National Institute of Technology Warangal;Telangana;Central Government
731;C-25476;Nizam College, Basheerbagh;Telangana;State Government
732;C-30588;Osmania Medical College;Telangana;State Government
733;U-0027;Osmania University;Telangana;State Government
734;U-0784;Professor Jayashankar Telangana State Agricultural University;Telangana;State Government
735;C-26044;Railway Degree College;Telangana;Central Government
736;U-0041;The English and Foreign Languages University, Hyderabad;Telangana;Central Government
737;C-61514;University College of Engineering;Telangana;State Government
738;U-0042;University of Hyderabad;Telangana;Central Government
739;C-19613;Vishnu Institute of Pharmaceutical Education and Research;Telangana;Private
740;C-50817;DIU COLLEGE;The Dadra and Nagar Haveli and Daman and Diu;Central Government
741;C-47929;DR B B A GOVERNMENT POLYTECHNIC;The Dadra and Nagar Haveli and Daman and Diu;Central Government
742;C-59611;GOVERNMENT COLLEGE OF NURSING, DAMAN;The Dadra and Nagar Haveli and Daman and Diu;Central Government
743;C-60284;GOVERNMENT ENGINEERING COLLEGE DAMAN;The Dadra and Nagar Haveli and Daman and Diu;Central Government
744;C-52604;GOVERNMENT POLYTECHNIC, DIU;The Dadra and Nagar Haveli and Daman and Diu;Central Government
745;C-63929;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU;The Dadra and Nagar Haveli and Daman and Diu;Central Government
746;C-48563;Shri Vinoba Bhave College of Nursing, Silvassa;The Dadra and Nagar Haveli and Daman and Diu;Central Government
747;C-65956;SHRI VINOBA BHAVE INSTITUTE OF MEDICAL SCIENCE AND RESEARCH;The Dadra and Nagar Haveli and Daman and Diu;Central Government
748;S-19405;CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (CIPET)  AGARTALA;Tripura;Central Government
749;U-1158;Indian Institute of Information Technology Agartala;Tripura;Central Government
750;C-47426;NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY, AGARTALA;Tripura;Central Government
751;U-0493;National Institute of Technology Agartala;Tripura;Central Government
752;S-18150;NATIONAL SCHOOL OF DRAMA (THEATRE-IN-EDUCATION WING);Tripura;Central Government
753;U-0495;Tripura University, Agartala;Tripura;Central Government
754;U-0713;Academy of Scientific and Innovative Research;Uttar Pradesh;Central Government
755;U-0496;Aligarh Muslim University;Uttar Pradesh;Central Government
756;U-1180;ALL INDIA INSTITUTE OF MEDICAL SCIENCE GORAKHPUR;Uttar Pradesh;Central Government
757;U-1092;ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS), RAEBARELI;Uttar Pradesh;Central Government
758;U-0497;Amity University;Uttar Pradesh;Private
759;U-0498;Babasaheb Bhimrao Ambedkar University;Uttar Pradesh;Central Government
760;U-0500;Banaras Hindu University;Uttar Pradesh;Central Government
761;S-354;Birla Institute of Management Technology;Uttar Pradesh;Private
762;U-0502;Bundelkhand University;Uttar Pradesh;State Government
763;C-32889;C - DAC, NOIDA;Uttar Pradesh;Central Government
764;U-0503;Central Institute of Higher Tibetan Studies, Varanasi;Uttar Pradesh;Central Government
765;U-0505;Chatrapati Sahuji Maharaj Kanpur University;Uttar Pradesh;State Government
766;U-0506;Chaudhary Charan Singh University Meerut;Uttar Pradesh;State Government
767;U-0511;Dr. Ram Manohar Lohiya National Law University;Uttar Pradesh;State Government
